"ThyroidClass","patient_age_Seg","positive","count","indicateur"
"negative","1-10",0,18,"patient_gender"
"negative","1-10",1,12,"patient_gender"
"negative","11-20",0,72,"patient_gender"
"negative","11-20",1,164,"patient_gender"
"negative","21-30",0,127,"patient_gender"
"negative","21-30",1,338,"patient_gender"
"negative","31-40",0,173,"patient_gender"
"negative","31-40",1,361,"patient_gender"
"negative","41-50",0,188,"patient_gender"
"negative","41-50",1,275,"patient_gender"
"negative","51-60",0,294,"patient_gender"
"negative","51-60",1,412,"patient_gender"
"negative","61-70",0,195,"patient_gender"
"negative","61-70",1,439,"patient_gender"
"negative","71-80",0,105,"patient_gender"
"negative","71-80",1,267,"patient_gender"
"negative","81-90",0,24,"patient_gender"
"negative","81-90",1,75,"patient_gender"
"negative","91-100",0,1,"patient_gender"
"negative","91-100",1,1,"patient_gender"
"sick","11-20",0,4,"patient_gender"
"sick","11-20",1,2,"patient_gender"
"sick","21-30",0,3,"patient_gender"
"sick","21-30",1,3,"patient_gender"
"sick","31-40",0,5,"patient_gender"
"sick","31-40",1,7,"patient_gender"
"sick","41-50",0,9,"patient_gender"
"sick","41-50",1,14,"patient_gender"
"sick","51-60",0,22,"patient_gender"
"sick","51-60",1,24,"patient_gender"
"sick","61-70",0,19,"patient_gender"
"sick","61-70",1,34,"patient_gender"
"sick","71-80",0,25,"patient_gender"
"sick","71-80",1,38,"patient_gender"
"sick","81-90",0,8,"patient_gender"
"sick","81-90",1,12,"patient_gender"
"sick","91-100",1,2,"patient_gender"
"negative","1-10",0,24,"presc_thyroxine"
"negative","1-10",1,6,"presc_thyroxine"
"negative","11-20",0,212,"presc_thyroxine"
"negative","11-20",1,24,"presc_thyroxine"
"negative","21-30",0,424,"presc_thyroxine"
"negative","21-30",1,41,"presc_thyroxine"
"negative","31-40",0,474,"presc_thyroxine"
"negative","31-40",1,60,"presc_thyroxine"
"negative","41-50",0,405,"presc_thyroxine"
"negative","41-50",1,58,"presc_thyroxine"
"negative","51-60",0,591,"presc_thyroxine"
"negative","51-60",1,115,"presc_thyroxine"
"negative","61-70",0,531,"presc_thyroxine"
"negative","61-70",1,103,"presc_thyroxine"
"negative","71-80",0,333,"presc_thyroxine"
"negative","71-80",1,39,"presc_thyroxine"
"negative","81-90",0,93,"presc_thyroxine"
"negative","81-90",1,6,"presc_thyroxine"
"negative","91-100",0,2,"presc_thyroxine"
"sick","11-20",0,5,"presc_thyroxine"
"sick","11-20",1,1,"presc_thyroxine"
"sick","21-30",0,5,"presc_thyroxine"
"sick","21-30",1,1,"presc_thyroxine"
