"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.0436091150273222,0.230380565900368,-0.189291639496109,0.849880167457434
"2","ThryroidClasssick",0.0440527724636169,0.0170466536193967,2.58424752723849,0.00981741960518318
"3","patient_age10",0.0402139996386464,0.227670217226307,0.176632675668216,0.859811749227837
"4","patient_age12",0.0542508485812652,0.203462653366702,0.266637870309735,0.789770777602677
"5","patient_age13",0.0157719375158197,0.178520990038359,0.0883478044370621,0.929607576264812
"6","patient_age14",0.128281432050897,0.130786204811133,0.980848341276878,0.326765864871067
"7","patient_age15",0.0377497142276953,0.133169004208535,0.283472227280316,0.776839186289081
"8","patient_age16",0.00283208532723134,0.12804117960604,0.0221185507345775,0.982355217536203
"9","patient_age17",0.00885850311875146,0.135889141337946,0.0651891904793262,0.94802876758173
"10","patient_age18",-0.00263441903241886,0.126098938728237,-0.0208916828245196,0.983333788624519
"11","patient_age19",0.0250338996348384,0.119776348941583,0.209005365884445,0.834461691437041
"12","patient_age2",0.0783317441826007,0.245202423706272,0.31945746293452,0.749407296163722
"13","patient_age20",0.0367523227655146,0.123390024351329,0.297854895148327,0.765839556785193
"14","patient_age21",0.0308995259652561,0.12225682092336,0.252742756861201,0.800488532828061
"15","patient_age22",0.0206011320798431,0.119541869342751,0.172334029851712,0.863189384730551
"16","patient_age23",0.0331208770177714,0.118373179594384,0.279800518422019,0.779654535761214
"17","patient_age24",0.0816474648852849,0.120780192547433,0.676000453081081,0.499105139914444
"18","patient_age25",0.0700795151202147,0.11809607333569,0.593411052042457,0.552961710641795
"19","patient_age26",0.0592146711096434,0.118935053405023,0.497874002780263,0.618618221203575
"20","patient_age27",0.0236932521781191,0.11902309541934,0.199064325244135,0.842229198300837
"21","patient_age28",0.0134947996084244,0.117436223133536,0.114911730370276,0.908524647998868
"22","patient_age29",0.0928081275697771,0.118382999280155,0.783964996106789,0.433137596314152
"23","patient_age30",0.0241319834435399,0.119390712860902,0.202126135821429,0.839835154970591
"24","patient_age31",0.0604974506721441,0.120340689556918,0.502718165359442,0.615208313447212
"25","patient_age32",0.100255297919365,0.11869554544694,0.844642463555485,0.398394226946315
"26","patient_age33",0.0398431827481629,0.119627182352517,0.333061282265707,0.739116959516349
"27","patient_age34",0.0306561526881111,0.116476450557155,0.263196144297581,0.79242187358821
"28","patient_age35",0.0404594712634789,0.118245779125769,0.34216419023672,0.7322571309561
"29","patient_age36",0.0170378709394284,0.118095342896075,0.144272166214225,0.885297604332691
"30","patient_age37",0.0249351259730271,0.117304028269886,0.212568369055988,0.831681600163786
"31","patient_age38",0.0259965030569266,0.117168792905327,0.221872244411802,0.824432112892139
"32","patient_age39",0.0290502611768648,0.117498646108034,0.247239114143959,0.804744209438208
"33","patient_age4",0.113482524598665,0.318032024292021,0.356827350488653,0.721252259787735
"34","patient_age40",0.0228973656029459,0.119360454880266,0.191833766266349,0.847888561425965
"35","patient_age41",0.066660800090117,0.119085771306972,0.559771325814256,0.575687381007191
"36","patient_age42",0.0241636946115389,0.117644785451423,0.205395373189033,0.83728055995431
"37","patient_age43",0.0767805833959985,0.120968595043475,0.634715013168534,0.525674473630849
"38","patient_age44",0.020449890178995,0.118810627478172,0.172121725245092,0.86335626720704
"39","patient_age45",0.0235919576105187,0.117699147082206,0.200442893558448,0.841151107588331
"40","patient_age46",0.00994602716133359,0.118436302806197,0.0839778592008968,0.933081001406414
"41","patient_age47",0.0750298596045505,0.117319052767754,0.639536868347208,0.522534446486983
"42","patient_age48",0.0240178655084032,0.11756512215617,0.204294139859767,0.838140877734712
"43","patient_age49",0.0335495383101814,0.118476747350656,0.283174032545684,0.777067723676977
"44","patient_age5",0.0736286161335128,0.22875501124227,0.321866680575291,0.747581575859024
"45","patient_age50",0.0464442128932105,0.117560812899431,0.395065428247268,0.692829521137494
"46","patient_age51",0.0149390463914057,0.120777435635895,0.123690706900271,0.901570471674861
"47","patient_age52",0.00934241301556514,0.118071992854968,0.0791247169601071,0.93693998475164
"48","patient_age53",0.0737125544234139,0.117754143366971,0.625986927642068,0.531382720983783
"49","patient_age54",0.0630915076575113,0.117454387081201,0.53715752323405,0.591208335818401
"50","patient_age55",0.0691975929078319,0.116177022013423,0.595622023258929,0.551483619412506
"51","patient_age56",0.0168042816151202,0.117411569052714,0.143122877504308,0.886205087285751
"52","patient_age57",0.120698691127832,0.118302225198398,1.02025715006979,0.307708797186562
"53","patient_age58",0.0167215299521789,0.116541083843557,0.143481846922118,0.885921627506965
"54","patient_age59",0.0928798192801722,0.115804257350253,0.802041491438912,0.422607935714072
"55","patient_age6",0.0403632920580825,0.229712597952349,0.175712139507714,0.860534841328753
"56","patient_age60",0.0422062615333653,0.116332811244272,0.362806168628918,0.716781459097425
"57","patient_age61",0.139504844721866,0.116640117224202,1.19602798798388,0.231803149449168
"58","patient_age62",0.121103097676446,0.116418312674387,1.04024096290728,0.298332181417538
"59","patient_age63",0.062889466341792,0.116785851882235,0.538502441247838,0.590279890477366
"60","patient_age64",0.0652275941824243,0.117696591506306,0.554201216429702,0.579492501585095
"61","patient_age65",0.0447341946567213,0.116739639613718,0.383196271675526,0.701607997008529
"62","patient_age66",0.0147582165882008,0.117508612578994,0.125592637546288,0.900064853703914
"63","patient_age67",0.0673208502711757,0.117165025289161,0.574581451290853,0.565627961252776
"64","patient_age68",0.0668815186413031,0.116672841888867,0.573239817926173,0.566535743338913
"65","patient_age69",0.0285495504812831,0.118025255209914,0.241893571257323,0.808883186453229
"66","patient_age7",0.0375017421516431,0.162279940843788,0.231092900063,0.817262223033624
"67","patient_age70",0.0708457264762028,0.116009165437564,0.610690769207642,0.541461833311987
"68","patient_age71",0.0647984670132175,0.11705721144299,0.553562366764357,0.579929674086301
"69","patient_age72",0.118684629688312,0.116917314342501,1.0151159420292,0.310152334600037
"70","patient_age73",0.0538709845029867,0.115947687600841,0.464614565565481,0.642249417561097
"71","patient_age74",0.0600744039603061,0.116899258732137,0.51389892982949,0.607369710573487
"72","patient_age75",-0.00184913112134018,0.116850907232262,-0.0158247048751167,0.987375547511371
"73","patient_age76",0.0101553992318955,0.11795980544752,0.0860920310386028,0.931400401086641
"74","patient_age77",0.0100568046561906,0.118748645034681,0.0846898476462912,0.932514992883688
"75","patient_age78",0.104860841721551,0.117545022772147,0.892090870787582,0.372433177198711
"76","patient_age79",0.0544898779185096,0.118775015468645,0.458765487872271,0.646443898545759
"77","patient_age8",0.0666046216220226,0.225831785407067,0.294930235360652,0.768072546125298
"78","patient_age80",-0.00331806554775021,0.12013588261349,-0.0276192714080717,0.97796809507168
"79","patient_age81",0.00929281022095094,0.123840582433011,0.0750384893092515,0.940190308302314
"80","patient_age82",0.226652907552832,0.125708987474121,1.80299684300211,0.0715134211757322
"81","patient_age83",0.0336012763585271,0.119704174946438,0.280702626901376,0.778962558094435
"82","patient_age84",0.0569276552478941,0.123687580213548,0.460253609534666,0.645375665397583
"83","patient_age85",-0.0251460144479093,0.12567166522533,-0.200092951763012,0.841424746696441
"84","patient_age86",-0.00974505357419495,0.154459535884263,-0.0630913042591101,0.949699024234343
"85","patient_age87",0.0027680208741904,0.129258909671135,0.0214145460551454,0.982916740704537
"86","patient_age88",-0.020616447457382,0.138638263758666,-0.148706763186749,0.881797450230826
"87","patient_age89",-0.0208318883813004,0.135817745603715,-0.153381196902524,0.878110497267963
"88","patient_age90",0.0134555526535432,0.150580799386331,0.0893576917401107,0.92880506171349
"89","patient_age91",-0.00979692173853802,0.228283058729431,-0.0429156757976932,0.965772303494716
"90","patient_age92",-0.045084080958914,0.2302335509594,-0.195818901159477,0.844768403541531
"91","patient_age93",0.953601120412724,0.179263301017762,5.31955573170127,1.13597465305261e-07
"92","patient_age94",0.00447441957402899,0.225043520828162,0.0198824634344641,0.984138778360372
